"world_rank","university_name","country","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","year","national_rank"
"17","University College London","United Kingdom",77.8,91.8,84.3,89,41.4,83.2,26607,10.7,"46%","56 : 44",2012,4
"18","University of Michigan","United States of America",75.4,47.2,90,94.3,53.3,82.8,41786,9,"16%","48 : 52",2012,13
"19","University of Toronto","Canada",76.9,69,87.4,86.5,44.9,81.6,66198,19.5,"15%",NA,2012,1
"20","Cornell University","United States of America",70.4,53.4,87.2,93.5,NA,80.5,21424,10.2,"19%","48 : 52",2012,14
"21","Carnegie Mellon University","United States of America",65.7,55,79.5,97.4,60.7,78.4,11885,13.1,"35%","39 : 61",2012,15
"22","Duke University","United States of America",62.6,46.9,77.9,97.4,100,77.4,15172,4.8,"17%","49 : 51",2012,16
"22","University of British Columbia","Canada",68.6,88.7,78.6,85.2,40.6,77.4,50152,17.6,"25%","54 : 46",2012,2
"24","Georgia Institute of Technology","United States of America",66.6,65,73.8,91.9,99.2,77,19967,20.1,"26%","31 : 69",2012,17
"25","University of Washington","United States of America",70.8,36.9,74,98.2,31.8,76.5,44020,11.8,"13%","53 : 47",2012,18
"26","Northwestern University","United States of America",66.3,35.3,75.5,98.6,56.6,76.2,18334,13.8,"15%","48 : 52",2012,19
"27","University of Wisconsin-Madison","United States of America",74.3,23.8,77.3,90.6,55.3,75.8,39655,10.8,"11%","51 : 49",2012,20
"28","McGill University","Canada",72.8,81.4,78.4,77.1,35.1,75.5,31326,13.7,"23%","56 : 44",2012,3
"29","University of Texas at Austin","United States of America",69.5,38.8,76.1,89.6,57.7,74.9,49427,17.4,"9%","51 : 49",2012,21
"30","University of Tokyo","Japan",86.1,23,80.3,69.1,76.6,74.3,26199,5.7,"10%",NA,2012,1
"31","University of Illinois at Urbana-Champaign","United States of America",67.9,50.7,81.3,81.5,NA,74.2,42727,18.7,"20%","47 : 53",2012,22
"32","Karolinska Institute","Sweden",69.9,82,73.8,73.1,78.5,73.1,7774,11.5,"22%","70 : 30",2012,1
"33","University of California, San Diego","United States of America",61.4,31.5,72,97.8,51.8,73,27233,6.5,"11%","48 : 52",2012,23
"34","University of Hong Kong","Hong Kong",74,83.7,80.1,60.5,64.1,72.3,19835,17.6,"38%","53 : 47",2012,1
"35","University of California, Santa Barbara","United States of America",55,52.6,65.3,99.9,85,72.1,22020,27.3,"11%","52 : 48",2012,24
"36","University of Edinburgh","United Kingdom",63,79.8,61.4,92.3,41.3,72,25774,14.1,"36%","58 : 42",2012,5
"37","University of Melbourne","Australia",62.2,82.5,72.4,80.7,44.4,71.9,40128,23.7,"35%","55 : 45",2012,1
"38","Australian National University","Australia",62.8,93.8,75.1,72.6,41.7,71.2,14604,19.2,"35%","52 : 48",2012,2
"38","University of California, Davis","United States of America",68,51.4,68.7,83.4,52.5,71.2,35364,13.9,"13%","54 : 46",2012,25
"40","National University of Singapore","Singapore",65.7,93,79,63.4,60.7,70.9,31592,15.5,"34%","49 : 51",2012,1
"41","Washington University in St Louis","United States of America",64,45.7,58.9,96.1,NA,70.5,12528,5.7,"17%",NA,2012,26
"42","University of Minnesota, Twin Cities","United States of America",66.1,25.6,72.5,85.4,NA,70,46825,18,"13%","52 : 48",2012,27
"43","University of North Carolina at Chapel Hill","United States of America",67.6,20.2,62.6,92.6,35.5,69.3,26518,7.3,"8%","58 : 42",2012,28
"44","New York University","United States of America",60.2,38.1,65.4,92.3,30.9,69,42056,6.8,"19%","55 : 45",2012,29
"45","LMU Munich","Germany",63.8,54.3,59.9,84.6,40.7,67.6,35691,15.5,"13%","62 : 38",2012,1
"46","École Polytechnique Fédérale de Lausanne","Switzerland",53.1,98.9,43.9,95.3,46.7,66.3,9666,10.5,"54%","27 : 73",2012,2
"47","London School of Economics and Political Science","United Kingdom",66.4,96,75.4,50.6,41.1,66,NA,NA,NA,NA,2012,6
"48","University of Manchester","United Kingdom",59,80.4,61.1,75.6,37.7,65.7,34938,15.3,"34%","52 : 48",2012,7
"49","Brown University","United States of America",59.8,33.4,53.6,93.9,34.9,65.6,8653,10.1,"19%",NA,2012,30
"49","Peking University","China",82.3,51.7,64.1,51,99.9,65.6,40148,8.3,"14%",NA,2012,1
"51","Pennsylvania State University","United States of America",53.5,29.5,66.7,83.4,61.6,64.9,44501,12.4,"12%","46 : 54",2012,31
"52","Kyoto University","Japan",76.4,21.1,72,56.3,71.7,64.8,22809,5.6,"7%",NA,2012,2
"53","Pohang University of Science and Technology","South Korea",56.4,25,51.9,92.3,100,64.6,3055,10.1,"4%","20 : 80",2012,1
"54","Boston University","United States of America",60.7,37.2,46.2,95.6,27.6,64.2,24789,8.6,"17%","58 : 42",2012,32
"55","University of Southern California","United States of America",65.8,41.1,48.7,80.2,99.3,64,36534,12.9,"20%","52 : 48",2012,33
"56","King’s College London","United Kingdom",49.8,90,54.2,80.9,40.8,63.2,21394,11.4,"37%","61 : 39",2012,8
"57","Ohio State University","United States of America",61.8,42.2,56.2,77.5,49.9,63,51462,13.4,"12%","49 : 51",2012,34
"58","University of Sydney","Australia",55.4,88.1,65.7,57.2,92.1,62.4,41868,20.2,"28%","57 : 43",2012,3
"59","University of Pittsburgh","United States of America",54.3,26.5,53.9,88.7,37.5,62,26485,5.8,"10%","51 : 49",2012,35
"59","École Normale Supérieure","France",56.6,66.2,33.5,96.4,44.7,62,2400,7.9,"20%","46 : 54",2012,1
"61","University of Zurich","Switzerland",56.7,87.4,45.9,78.4,43.5,61.9,26583,6.5,"19%","57 : 43",2012,3
"62","Hong Kong University of Science and Technology","Hong Kong",51,80.1,58.6,71,59,61.7,11385,23.8,"36%",NA,2012,2
"63","École Polytechnique","France",50.4,86.1,38.8,89.1,63,61.5,2429,4.8,"30%","18 : 82",2012,2
"64","University of Massachusetts","United States of America",54,27.3,58.3,80.1,53.2,61.1,56959,13,"11%","49 : 51",2012,36
"65","McMaster University","Canada",41.9,72,49.9,85.5,97.5,61,23823,19.3,"15%","53 : 47",2012,4
"66","University of Bristol","United Kingdom",44.2,73.7,47.7,89.9,34.8,60.9,17906,14,"25%","53 : 47",2012,9
"67","KU Leuven","Belgium",52.5,56.7,64.7,63,99.9,60.8,42503,41.9,"18%","54 : 46",2012,1
"68","Utrecht University","Netherlands",42.8,58.1,53.2,85.7,59.3,60.4,30779,15.4,"7%","59 : 41",2012,1
"69","University of Göttingen","Germany",51.4,48,50.9,84.1,32.7,60.3,25581,25.6,"12%","51 : 49",2012,2
"70","Vanderbilt University","United States of America",52.1,26.8,47.6,86.8,64.4,59.6,12161,3.6,"10%","52 : 48",2012,37
"71","Tsinghua University","China",74.1,33.4,70.1,37.4,99.8,59.5,39763,13.7,"10%","32 : 68",2012,2
"72","Rice University","United States of America",45.9,39.7,38,99.9,36.2,59,6333,9,"26%","44 : 56",2012,38
"73","Heidelberg University","Germany",57.1,62.3,41.5,78.5,37.6,58.7,28881,24.5,"17%","55 : 45",2012,3
"74","The University of Queensland","Australia",47.5,80.8,52.3,70.2,62.6,58.6,34718,32.7,"27%","53 : 47",2012,4
"75","Emory University","United States of America",48.4,37.3,39.8,90.9,34.4,57.4,12338,4.5,"18%","56 : 44",2012,39
"75","Wageningen University and Research Center","Netherlands",50.1,75.9,47.6,66.3,100,57.4,9248,17,"21%","56 : 44",2012,2
"77","Tufts University","United States of America",45.8,41.3,37.4,94.5,35.4,57.3,10410,10,"14%","54 : 46",2012,40
"77","University of Colorado Boulder","United States of America",39.5,30.8,42.6,98.2,NA,57.3,29325,16.1,"8%","45 : 55",2012,41
"79","Leiden University","Netherlands",45.4,54.4,55.3,71.7,48.6,57,21222,17.1,"10%","59 : 41",2012,3
"80","Lund University","Sweden",40.4,61.2,58.5,72.8,32.6,56.9,28251,11.5,"15%",NA,2012,2
"81","Rutgers, the State University of New Jersey","United States of America",51.6,25.3,60,69,NA,56.8,37032,17.3,"8%","51 : 49",2012,42
"81","University of Rochester","United States of America",47,45.7,33.5,94.5,36.4,56.8,9390,4.5,"26%","49 : 51",2012,43
"83","Durham University","United Kingdom",32.5,75.8,37.9,96.2,30.5,56.4,15489,15.7,"24%","54 : 46",2012,10
"84","Pierre and Marie Curie University","France",56.3,66.7,30.5,81.1,26.2,56,27862,8.7,"18%","48 : 52",2012,3
"85","University of St Andrews","United Kingdom",37.1,89.1,40.2,83,34.1,55.7,8338,12.7,"47%","56 : 44",2012,11
"86","University of California, Irvine","United States of America",36.2,36.3,42.3,93.5,45.6,55.4,26614,16.1,"16%","52 : 48",2012,44
"87","Uppsala University","Sweden",47.2,59.1,65.1,53.3,43.4,55.2,25266,18.2,"12%","57 : 43",2012,3
"88","Technical University of Munich","Germany",50,65.2,37.1,76.3,47.2,55.1,35565,31.5,"20%","33 : 67",2012,4
"89","University of Notre Dame","United States of America",42.6,33.1,36.2,94.1,27.3,55,11829,13.8,"10%","44 : 56",2012,45
"90","Dartmouth College","United States of America",44.8,30.6,38.7,89.9,NA,54.9,6178,6.6,"16%","47 : 53",2012,46
"91","University of Helsinki","Finland",39.3,46.8,54.2,75.1,28.9,54.8,23505,15.1,"6%","66 : 34",2012,1
"92","University of Amsterdam","Netherlands",41.7,56.4,54.7,68.3,42.5,54.7,24570,14.4,"11%","53 : 47",2012,4
"93","Case Western Reserve University","United States of America",54.2,29.9,40.2,78.4,NA,54.6,9259,6.4,"17%","48 : 52",2012,47
"94","Korea Advanced Institute of Science and Technology (KAIST)","South Korea",64.2,29.3,54.6,47.1,100,54.5,9027,10,"9%","20 : 80",2012,2
"94","University of Maryland, College Park","United States of America",41.1,35.3,43.6,85.8,28.5,54.5,31331,8.4,"9%","48 : 52",2012,48
"96","Michigan State University","United States of America",47.4,34,49.6,73.6,28,54.4,44750,15.7,"15%","51 : 49",2012,49
"97","University of Arizona","United States of America",45.1,28.4,43,78.3,86,54.2,36429,12.7,"8%","52 : 48",2012,50
"98","Purdue University","United States of America",56.6,52.6,49.4,57.8,NA,54,39256,18.1,"22%","42 : 58",2012,51
"99","University of Sussex","United Kingdom",30.6,79.8,34.8,92,28.1,53.9,12001,17.4,"35%","54 : 46",2012,12
"100","University of Alberta","Canada",50.6,71.9,54.4,51.7,53.7,53.7,36299,21.6,"23%","55 : 45",2012,5
"101","University of Sheffield","United Kingdom",44.6,68.2,46,67.5,40.2,53.6,23311,15.5,"31%","50 : 50",2012,13
"102","University of Glasgow","United Kingdom",37.5,68.1,41,77.5,61.4,53.4,22616,16,"29%","57 : 43",2012,14
"103","University of Cape Town","South Africa",34.3,73.9,41.1,75.3,97.5,53.2,20040,12.1,"18%","53 : 47",2012,1
"104","Delft University of Technology","Netherlands",53.5,71.3,66.1,31.2,100,53.1,15920,19.4,"25%","26 : 74",2012,5
"104","University of Montreal","Canada",54.5,79.5,47,48.7,81.3,53.1,38264,20.3,"25%","57 : 43",2012,6
"106","Ghent University","Belgium",41.1,47.3,52.2,63.4,97.8,53,32166,34.1,"9%","57 : 43",2012,2
"107","Royal Holloway, University of London","United Kingdom",28.6,93.3,24.1,98.2,25.9,52.9,8747,15.9,"37%","57 : 43",2012,15
"108","Tokyo Institute of Technology","Japan",56,24.9,58.9,49.5,66.3,52.8,9586,7.3,"13%","13 : 87",2012,3
"109","Humboldt University of Berlin","Germany",51.3,64.5,54.5,50.1,NA,52.6,29987,52.5,"16%",NA,2012,5
"110","University of California, Santa Cruz","United States of America",28.5,29.8,36.6,99.9,29.5,52.5,17404,22.7,"1%","53 : 47",2012,52
"111","University of Basel","Switzerland",38.9,92.4,21.9,86,48.6,52.2,12551,17.3,"24%","54 : 46",2012,4
"112","University of Bern","Switzerland",43,77.6,34.6,73.5,38.2,52.1,14708,22.5,"14%","54 : 46",2012,5
"113","University of Utah","United States of America",42.1,23.3,41,82.3,NA,51.9,25674,16.9,"9%","45 : 55",2012,53
"114","Stony Brook University","United States of America",37.7,56.5,28.7,88.3,29.2,51.4,21908,10.9,"24%","50 : 50",2012,54
"115","Eindhoven University of Technology","Netherlands",35.6,67.3,48,62.1,100,51.3,8176,16,"14%","19 : 81",2012,6
"116","University of Lausanne","Switzerland",27.5,86.7,40.4,77.8,40.3,51.2,11964,13.1,"22%",NA,2012,6
"117","Monash University","Australia",40.5,75.8,48.5,57.1,62.2,51.1,50882,40.5,"36%","56 : 44",2012,5
"117","Trinity College Dublin","Republic of Ireland",30.3,89.4,23.5,91.7,29.7,51.1,15521,18,"25%","57 : 43",2012,1
"119","Osaka University","Japan",61.8,21.1,56.5,40,75,51,23144,7.8,"9%","31 : 69",2012,4
"120","Tohoku University","Japan",57.7,25.6,55.7,42.9,78.9,50.8,17200,5,"7%","25 : 75",2012,5
"121","Hebrew University of Jerusalem","Israel",47.7,53,56.4,48.4,25,50.4,17612,10.7,"5%","55 : 45",2012,1
"121","University of York","United Kingdom",36.7,72.7,38.8,71.6,33.9,50.4,NA,NA,NA,NA,2012,16
"123","Indiana University","United States of America",46.8,37.7,34.5,73.7,NA,50.2,62468,13.6,"13%","53 : 47",2012,55
"124","Seoul National University","South Korea",64.6,16.3,50.8,44,42.6,50.1,26389,13.9,"10%",NA,2012,3
"125","Aarhus University","Denmark",30.7,69.3,49,64,67,50,23895,13.6,"14%","54 : 46",2012,1
"125","University of Florida","United States of America",46.7,25.9,59.9,50.9,NA,50,50095,18.7,"9%","54 : 46",2012,56
"127","Arizona State University","United States of America",38.2,26.1,39,80.3,28.7,49.9,83236,29.9,"9%","50 : 50",2012,57
"127","Queen Mary University of London","United Kingdom",29,88.8,28.6,83.7,36.6,49.9,14260,14,"40%","52 : 48",2012,17
"127","University of Southampton","United Kingdom",35.6,78.3,35.5,72.5,39.3,49.9,20925,13.5,"29%","53 : 47",2012,18
"130","University of Geneva","Switzerland",34.9,97.5,39,65.1,32.7,49.8,15668,15,"39%","61 : 39",2012,7
"131","Lancaster University","United Kingdom",32.6,78.6,35.7,75.4,27.5,49.7,11512,14.9,"33%","52 : 48",2012,19
"131","Stockholm University","Sweden",25,48.8,36,90.2,26.8,49.7,31715,23.7,"8%","62 : 38",2012,4
"133","University of Leeds","United Kingdom",44.6,64.8,43.9,57.1,36.4,49.5,27703,14.7,"21%","58 : 42",2012,20
"134","University of Groningen","Netherlands",32.4,47.3,52.4,62.4,59.9,49.2,24556,25.6,"12%","52 : 48",2012,7
"135","George Washington University","United States of America",44.2,38.3,33.6,73.2,NA,49,20541,12,"16%","56 : 44",2012,58
"135","University of Copenhagen","Denmark",37.8,74.8,31.6,72.1,37,49,27545,4.1,"19%","67 : 33",2012,2
"135","University of Virginia","United States of America",37,26.4,42.2,74.7,34.7,49,23845,10.2,"12%","52 : 48",2012,59
"138","Georgetown University","United States of America",52.5,29.1,40.4,57.7,NA,48,15408,8.5,"14%","53 : 47",2012,60
"139","University of Vienna","Austria",49.5,86.6,41.2,45.2,25.4,47.9,34651,20.5,"25%","67 : 33",2012,1
"140","University of Nottingham","United Kingdom",40.2,72.6,40,57.6,36.7,47.7,30144,15,"27%","54 : 46",2012,21
"141","University of Iowa","United States of America",47.7,21.9,42.1,61.3,NA,47.6,27526,11.6,"11%","52 : 48",2012,61
"141","École Normale Supérieure de Lyon","France",35.3,58.8,21.4,85.1,25.1,47.6,2218,8,"14%","49 : 51",2012,4
"143","University of California, Riverside","United States of America",27.8,30,30.9,89.6,31,47.5,20626,22,"12%","51 : 49",2012,62
"144","Rensselaer Polytechnic Institute","United States of America",31.7,32.7,40.4,73.6,49,47.4,6671,15,"16%","30 : 70",2012,63
"145","University of East Anglia","United Kingdom",26.5,68.5,26.1,85.6,28,47.3,14992,14.7,"28%","58 : 42",2012,22
"146","Newcastle University","United Kingdom",34.2,76.2,28.4,72.2,32.3,47,20174,15.2,"29%","50 : 50",2012,23
"146","William & Mary","United States of America",40,19.7,18.9,90.7,27,47,7867,11.8,"7%","54 : 46",2012,64
"148","University of Birmingham","United Kingdom",42.6,70.3,42.6,50.6,36,46.9,25295,16.4,"23%","54 : 46",2012,24
"149","Birkbeck, University of London","United Kingdom",25.9,85.3,25.8,80.8,25.1,46.8,9454,17.2,"38%","55 : 45",2012,25
"150","Brandeis University","United States of America",25.3,40.3,27.3,90.2,33.7,46.7,5495,12.6,"22%","55 : 45",2012,65
"151","Chinese University of Hong Kong","Hong Kong",47,69.5,50.2,37.8,36.4,46.6,17916,10.2,"22%","53 : 47",2012,3
"151","Free University of Berlin","Germany",46.3,62.1,48.5,42.5,30.6,46.6,33062,39.3,"20%","58 : 42",2012,6
"151","University of Aberdeen","United Kingdom",30.6,84.8,32.2,67.7,44.4,46.6,12938,15.8,"33%","54 : 46",2012,26
"154","National Taiwan University","Taiwan",47.8,20.7,58.5,39.2,40,46.2,31891,11.9,"7%","39 : 61",2012,1
"154","Yeshiva University","United States of America",43.6,26.4,27,75.3,NA,46.2,6753,5.5,"7%","53 : 47",2012,66
"156","University of Exeter","United Kingdom",31.3,73.4,33.3,67.8,35.4,46.1,17755,18.8,"28%","54 : 46",2012,27
"157","Erasmus University Rotterdam","Netherlands",28.8,65,27.2,77.4,45,46,20580,18.9,"18%","48 : 52",2012,8
"157","University of Warwick","United Kingdom",39.7,85.5,44.5,45,31.3,46,18529,16.6,"37%","48 : 52",2012,28
"159","Radboud University Nijmegen","Netherlands",27.7,52.3,43.8,65.5,33.1,45.9,17713,13,"10%","58 : 42",2012,9
"159","University College Dublin","Republic of Ireland",25.2,83.2,23.7,80.5,32.3,45.9,22193,24.5,"23%",NA,2012,2
"159","VU University Amsterdam","Netherlands",30.4,48,35.3,70.2,63.2,45.9,23280,16.3,"6%","56 : 44",2012,10
"162","Medical University of South Carolina","United States of America",43.9,23.9,38.9,56.6,87.8,45.8,NA,NA,NA,NA,2012,67
"162","Wake Forest University","United States of America",36.4,17.2,21.6,86.1,49.1,45.8,7326,4.6,"5%","51 : 49",2012,68
"164","Texas A&M University","United States of America",42.3,36,51.8,45.7,43.8,45.7,50657,21.4,"9%","47 : 53",2012,69
"164","University of Reading","United Kingdom",36.9,75.1,38.6,55.4,31.6,45.7,12050,14.8,"28%","55 : 45",2012,29
"166","Tel Aviv University","Israel",47.3,30.1,60.7,33,35,45.4,23977,24.4,"4%",NA,2012,2
"167","University of Illinois at Chicago","United States of America",53.3,27.2,43.9,43.3,38.6,45.2,24313,9.2,"17%","53 : 47",2012,70
"168","RWTH Aachen University","Germany",36.1,67.1,25.1,67.2,61.8,45.1,37917,27.6,"16%","31 : 69",2012,7
"169","Nanyang Technological University","Singapore",41.4,89.8,47.8,34.5,44.4,45,25028,16.2,"33%","48 : 52",2012,2
"169","Paris Diderot University – Paris 7","France",23.3,70.7,18.7,88.9,NA,45,27756,14.8,"17%","63 : 37",2012,5
"169","Université Catholique de Louvain","Belgium",29.2,72.5,34.7,65.5,30.8,45,28856,42,"19%","54 : 46",2012,3
"172","University of Miami","United States of America",45.7,30.3,23.3,70.3,NA,44.8,15286,5.7,"14%","50 : 50",2012,71
"173","Queen’s University","Canada",39.7,65,36.1,49.3,87.5,44.6,20488,22.1,"10%","58 : 42",2012,7
"173","University of Auckland","New Zealand",28.3,92.9,35,55.7,76.6,44.6,29787,18.9,"28%","54 : 46",2012,1
"173","University of New South Wales","Australia",36.1,85.1,40.2,46.8,53.1,44.6,38309,25.9,"33%","47 : 53",2012,6
"176","University of Dundee","United Kingdom",20.8,62.5,20.1,87.1,55.3,44.5,11628,15.3,"25%","60 : 40",2012,30
"177","University of Victoria","Canada",16.8,70.5,31.5,79.2,26.8,44.2,17581,21.5,"11%","56 : 44",2012,8
"178","Technical University of Denmark","Denmark",31.9,65.2,24.1,66.8,95.7,44.1,9990,5,"18%","27 : 73",2012,3
"178","University of São Paulo","Brazil",61.7,22.9,58,18.8,33.3,44.1,81402,14.6,"4%","48 : 52",2012,1
"180","University of Delaware","United States of America",26.4,29.8,37.2,66.7,98,43.8,19262,15.9,"10%","56 : 44",2012,72
"181","Goethe University Frankfurt","Germany",30.5,57.6,21.7,75.1,42.4,43.6,31861,9.3,"15%","60 : 40",2012,8
"181","University of Liverpool","United Kingdom",34.8,73.1,33.5,55.6,37.1,43.6,18815,13.6,"30%","52 : 48",2012,31
"181","University of Oslo","Norway",33.5,63.9,36.9,56.6,29,43.6,27139,18.8,"18%",NA,2012,1
"184","Iowa State University","United States of America",32.8,28.3,30.1,70.4,49.2,43.4,29991,17.4,"11%","44 : 56",2012,73
"185","University of Ottawa","Canada",38.9,49.6,34.8,54.8,36.9,43.2,36733,26.3,"15%","60 : 40",2012,9
"186","Pompeu Fabra University","Spain",23.4,54.3,16.1,87.6,37.6,43.1,10901,18.3,"13%","59 : 41",2012,1
"187","KTH Royal Institute of Technology","Sweden",40.9,82.1,39.5,34.1,100,43,12062,14.6,"21%","30 : 70",2012,5
"187","University of Tübingen","Germany",34.4,58.1,24.1,67.6,31,43,28327,38.9,"12%","58 : 42",2012,9
"189","University of Freiburg","Germany",35.7,55.6,18.7,67.8,81.8,42.9,26467,31.2,"16%","52 : 48",2012,10
"189","University of Western Australia","Australia",32.1,90,35.8,47.8,58.7,42.9,20851,20.7,"27%","50 : 50",2012,7
"191","University of Bergen","Norway",29,73.5,26.6,65.2,42.1,42.8,11623,11.1,"12%","60 : 40",2012,2
"192","University of Science and Technology of China","China",38.9,14.8,23.5,73.6,29.7,42.7,14290,7.9,"2%",NA,2012,3
"193","City University of Hong Kong","Hong Kong",30.2,61.6,35,57.4,50.1,42.6,10015,7.1,"28%","51 : 49",2012,4
"194","University of Konstanz","Germany",29,63.7,29.7,62.8,49.9,42.5,10930,59.1,"12%","54 : 46",2012,11
"195","Boston College","United States of America",26.5,41.4,18.9,83.5,24.2,42.4,13216,17.4,"19%","54 : 46",2012,74
"196","Karlsruhe Institute of Technology","Germany",34.6,64.9,19.6,65.5,35.6,41.6,25294,24.6,"16%","26 : 74",2012,12
"197","Georgia Health Sciences University","United States of America",49,32.1,14.2,63.5,40.7,41.5,NA,NA,NA,NA,2012,75
"197","Maastricht University","Netherlands",30.6,86.4,30.5,53.9,NA,41.5,15626,18.9,"48%","56 : 44",2012,11
"197","University of Leicester","United Kingdom",27.6,84.9,30.3,56.3,34.4,41.5,14541,13.4,"35%","54 : 46",2012,32
"200","University of Twente","Netherlands",32.9,56.2,30.4,54.4,76.8,41.4,6631,12,"26%","37 : 63",2012,12
"201-225","Autonomous University of Barcelona","Spain",33.7,45.9,27.9,57.9,37,NA,30538,12.3,"10%","59 : 41",2012,2
"201-225","Bilkent University","Turkey",27.9,48.5,22.3,60.8,29.4,NA,NA,NA,NA,NA,2012,1
"201-225","Cardiff University","United Kingdom",28.9,67.8,34,51.7,35.5,NA,23347,13.1,"23%","57 : 43",2012,33
"201-225","Colorado School of Mines","United States of America",24.6,38.4,22.8,63.7,99.4,NA,5287,18.2,"12%","26 : 74",2012,76
"201-225","Nagoya University","Japan",45.5,21.2,39.2,43.8,33.1,NA,15529,7.9,"10%","29 : 71",2012,6
"201-225","National Tsing Hua University","Taiwan",42.7,17.7,44.5,39.7,46.8,NA,10221,13.5,"5%","33 : 67",2012,2
"201-225","Northeastern University","United States of America",30.4,38,18.9,70,31.1,NA,18539,15.1,"26%","50 : 50",2012,77
"201-225","Technion Israel Institute of Technology","Israel",38.7,48.9,45,34,33.6,NA,13855,19.4,"4%","35 : 65",2012,3
"201-225","Tulane University","United States of America",28,29.8,34.1,58.8,NA,NA,11381,8.4,"8%","56 : 44",2012,78
"201-225","Ulm University","Germany",40.8,50.8,18.8,46.7,69.8,NA,9187,11.2,"10%","47 : 53",2012,13
"201-225","Umeå University","Sweden",20.8,52,29.2,59.4,26.3,NA,16667,11.9,"7%","60 : 40",2012,6
"201-225","University at Buffalo","United States of America",44.3,49.2,35.6,42,40.9,NA,25668,19,"19%","47 : 53",2012,79
"201-225","University of Adelaide","Australia",32.2,81.7,33.4,43.8,50.7,NA,20771,30.1,"26%","48 : 52",2012,8
"201-225","University of Barcelona","Spain",24.5,44.1,22.2,71.9,29.5,NA,47491,12.2,"10%","62 : 38",2012,3
"201-225","University of Cincinnati","United States of America",29,20.6,24.9,69,32.9,NA,36108,15.7,"6%","54 : 46",2012,80
"201-225","University of Essex","United Kingdom",31.7,90.1,35.9,37,28.3,NA,12695,19.8,"39%","55 : 45",2012,34
"201-225","University of Georgia","United States of America",44.4,30.6,36.4,37.3,27.7,NA,33119,19.9,"7%","57 : 43",2012,81
"201-225","University of Gothenburg","Sweden",25.8,48.4,37.7,55.7,37.7,NA,26420,16.4,"12%",NA,2012,7
"201-225","University of Innsbruck","Austria",23.1,90.7,13.8,65.7,32.8,NA,18209,16.9,"39%","54 : 46",2012,2
"201-225","University of Medicine and Dentistry of New Jersey","United States of America",48.5,31,14.4,55.6,34.3,NA,NA,NA,NA,NA,2012,82
"201-225","University of Otago","New Zealand",24.5,88.8,28,48,27.8,NA,18600,20.3,"21%","57 : 43",2012,2
"201-225","University of South Carolina","United States of America",34.3,26,29.3,52.1,27.3,NA,29336,16.3,"1%","55 : 45",2012,83
"201-225","University of Strasbourg","France",26.7,70.4,17.3,70.3,32.1,NA,46208,17.8,"21%","58 : 42",2012,6
"201-225","University of Waterloo","Canada",35.8,62.1,44.2,32.5,32.7,NA,30726,24.2,"14%","45 : 55",2012,10
"201-225","University of Western Ontario","Canada",38.8,55.7,34.3,38.5,41.9,NA,27387,20.7,"16%","54 : 46",2012,11
"201-225","University of Würzburg","Germany",31.3,44,18,63,27.9,NA,26576,38.4,"8%","57 : 43",2012,14
"201-225","Université Libre de Bruxelles","Belgium",23.6,80.4,25.9,53.5,52.8,NA,23819,26.1,"32%","54 : 46",2012,4
"226-250","Carleton University","Canada",17,58.6,24.2,61.6,NA,NA,25036,29.8,"18%","47 : 53",2012,12
